index,lon,lat,alt,time
0,100.491491,13.725929,9.8,2018-07-24 07:32:31
1,100.491541,13.725939,10.5,2018-07-24 07:32:33
2,100.491575,13.725943,10.7,2018-07-24 07:32:35
3,100.491629,13.72597,10.8,2018-07-24 07:32:37
4,100.491667,13.725987,11.1,2018-07-24 07:32:38
5,100.491693,13.72601,11.0,2018-07-24 07:32:39
6,100.491723,13.726035,10.9,2018-07-24 07:32:40
7,100.491756,13.726069,10.8,2018-07-24 07:32:41
8,100.491801,13.726124,10.6,2018-07-24 07:32:42
9,100.491866,13.726193,10.6,2018-07-24 07:32:43
10,100.491917,13.726236,11.0,2018-07-24 07:32:44
11,100.491957,13.726266,11.0,2018-07-24 07:32:45
12,100.49197,13.72632,11.0,2018-07-24 07:32:46
13,100.491999,13.726328,11.0,2018-07-24 07:32:48
14,100.492009,13.726301,11.0,2018-07-24 07:32:49
15,100.492041,13.726291,11.0,2018-07-24 07:32:51
16,100.49206,13.726254,11.0,2018-07-24 07:32:55
17,100.492057,13.726191,11.0,2018-07-24 07:32:57
18,100.492049,13.726125,11.4,2018-07-24 07:32:58
19,100.492048,13.726064,11.4,2018-07-24 07:32:59
20,100.492047,13.725992,11.4,2018-07-24 07:33:00
21,100.492061,13.725916,11.7,2018-07-24 07:33:01
22,100.492092,13.725873,11.7,2018-07-24 07:33:02
23,100.492127,13.725845,11.5,2018-07-24 07:33:03
24,100.492162,13.725801,11.5,2018-07-24 07:33:04
25,100.492191,13.725704,12.8,2018-07-24 07:33:05
26,100.492218,13.725654,13.5,2018-07-24 07:33:06
27,100.492228,13.725566,13.6,2018-07-24 07:33:07
28,100.492237,13.725491,13.5,2018-07-24 07:33:08
29,100.492237,13.725411,12.8,2018-07-24 07:33:09
30,100.492249,13.725373,12.3,2018-07-24 07:33:10
31,100.492255,13.725333,11.8,2018-07-24 07:33:11
32,100.492238,13.72531,11.7,2018-07-24 07:33:12
33,100.49236,13.725333,11.7,2018-07-24 07:33:14
34,100.492403,13.725311,11.9,2018-07-24 07:33:16
35,100.492402,13.72528,11.4,2018-07-24 07:33:17
36,100.492423,13.725261,11.7,2018-07-24 07:33:18
37,100.492449,13.725214,11.2,2018-07-24 07:33:20
38,100.492454,13.725178,10.7,2018-07-24 07:33:21
39,100.49245,13.72513,10.1,2018-07-24 07:33:22
40,100.492454,13.725089,9.8,2018-07-24 07:33:23
41,100.492459,13.725047,9.9,2018-07-24 07:33:24
42,100.492437,13.724992,9.8,2018-07-24 07:33:25
43,100.49242,13.724932,9.7,2018-07-24 07:33:26
44,100.492405,13.724888,9.8,2018-07-24 07:33:27
45,100.492391,13.724851,9.8,2018-07-24 07:33:28
46,100.492394,13.724805,9.9,2018-07-24 07:33:30
47,100.492379,13.724778,10.0,2018-07-24 07:33:31
48,100.492368,13.724729,10.0,2018-07-24 07:33:32
49,100.49238,13.724677,10.0,2018-07-24 07:33:34
50,100.492372,13.724634,10.0,2018-07-24 07:33:36
51,100.492391,13.724595,10.0,2018-07-24 07:33:38
52,100.492397,13.724556,10.1,2018-07-24 07:33:40
53,100.492388,13.724511,10.1,2018-07-24 07:33:42
54,100.492399,13.724479,10.1,2018-07-24 07:33:43
55,100.492414,13.724448,10.1,2018-07-24 07:33:45
56,100.49243,13.724414,10.1,2018-07-24 07:33:48
57,100.492434,13.72438,10.1,2018-07-24 07:33:51
58,100.492459,13.724367,10.2,2018-07-24 07:33:53
59,100.492474,13.724344,10.2,2018-07-24 07:33:55
60,100.492509,13.724305,10.2,2018-07-24 07:33:57
61,100.492551,13.724282,10.3,2018-07-24 07:33:59
62,100.492598,13.724275,10.4,2018-07-24 07:34:01
63,100.492629,13.724273,10.5,2018-07-24 07:34:03
64,100.49264,13.72423,10.5,2018-07-24 07:34:06
65,100.492638,13.724196,10.6,2018-07-24 07:34:08
66,100.492619,13.724161,10.6,2018-07-24 07:34:11
67,100.492599,13.724124,10.7,2018-07-24 07:34:13
68,100.492584,13.724098,10.7,2018-07-24 07:34:14
69,100.492566,13.724058,10.8,2018-07-24 07:34:15
70,100.492544,13.724041,10.8,2018-07-24 07:34:16
71,100.492526,13.724018,10.8,2018-07-24 07:34:17
72,100.492496,13.723981,10.9,2018-07-24 07:34:19
73,100.492476,13.723931,10.9,2018-07-24 07:34:21
74,100.492458,13.7239,10.9,2018-07-24 07:34:22
75,100.492434,13.723855,11.0,2018-07-24 07:34:24
76,100.492419,13.7238,11.0,2018-07-24 07:34:26
77,100.492404,13.723757,10.9,2018-07-24 07:34:28
78,100.492395,13.723729,10.9,2018-07-24 07:34:31
79,100.492391,13.723701,10.9,2018-07-24 07:34:33
80,100.492388,13.723665,10.9,2018-07-24 07:34:35
81,100.492385,13.723632,10.8,2018-07-24 07:34:37
82,100.49237,13.72359,10.8,2018-07-24 07:34:39
83,100.492346,13.723548,10.8,2018-07-24 07:34:41
84,100.492336,13.723518,10.7,2018-07-24 07:34:42
85,100.49233,13.723483,10.7,2018-07-24 07:34:43
86,100.492322,13.723433,10.7,2018-07-24 07:34:45
87,100.492304,13.723373,10.5,2018-07-24 07:34:47
88,100.492289,13.723336,10.5,2018-07-24 07:34:48
89,100.492281,13.723308,10.5,2018-07-24 07:34:49
90,100.492268,13.723282,10.4,2018-07-24 07:34:50
91,100.492245,13.723223,10.4,2018-07-24 07:34:52
